#Position (bp)	mapping quality
3874904.0	55.19491546450735
1.1624711E7	58.01426175679959
1.9374518E7	57.71405275692438
2.7124325E7	59.115050923103794
3.4874132E7	59.37377474452199
4.2623939E7	59.36850659611547
5.0373746E7	59.060258851936254
5.8123553E7	59.420741516871274
6.587336E7	59.28065277417046
7.3623167E7	59.24319318504956
8.1372974E7	58.565607035855805
8.9122781E7	59.11321911954216
9.6872588E7	59.25456520661194
1.04622395E8	58.02462258701273
1.12372202E8	59.227668285388724
1.20122009E8	25.94024632966846
1.27871816E8	16.20782571645164
1.35621623E8	0.0
1.4337143E8	11.699931352290763
1.51121237E8	53.160799617097815
1.58871044E8	58.32197566669024
1.66620851E8	59.10990873132592
1.74370658E8	59.19249516981654
1.82120465E8	59.33999148528704
1.89870272E8	59.177952351658355
1.97620079E8	59.06347239126388
2.05369886E8	58.51405921917903
2.13119693E8	59.328526679829395
2.208695E8	58.6372970835156
2.28619307E8	59.04421026603249
2.36369114E8	59.176972948471686
2.44118921E8	58.70843417672346
2.484751235E8	55.13501996506114
2.52350027E8	59.022998704164245
2.59618535E8	59.35543657753572
2.67368342E8	59.391660485237864
2.75118149E8	59.53129476299052
2.82867956E8	47.903838589535894
2.90617763E8	59.325731992645835
2.9836757E8	59.446410150647374
3.06117377E8	59.192644323911246
3.13867184E8	59.32722544139806
3.21616991E8	59.262343188958305
3.29366798E8	59.14714245252716
3.37116605E8	45.37076001403529
3.44866412E8	47.99108010416262
3.52616219E8	59.04364391034272
3.60366026E8	53.03677794665177
3.68115833E8	59.368631275214405
3.7586564E8	57.69523569233341
3.83615447E8	57.408547619204164
3.91365254E8	59.33531391669513
3.99115061E8	59.16245873128169
4.06864868E8	59.07617626184002
4.14614675E8	58.61277628381144
4.22364482E8	59.35383521816816
4.30114289E8	59.1375782865418
4.37864096E8	59.31897361801679
4.45613903E8	59.016309467426936
4.5336371E8	59.264698761909486
4.61113517E8	59.285437329208406
4.68863324E8	59.57291409180994
4.76613131E8	59.421299559793496
4.84362938E8	59.07504533918887
4.896938965E8	58.302724985507474
4.935688E8	58.95764223260485
4.99862552E8	59.382662760254696
5.07612359E8	59.30107572622335
5.15362166E8	59.22416757301472
5.23111973E8	59.23341857566667
5.3086178E8	59.09912351263241
5.38611587E8	59.33919518946647
5.46361394E8	59.22101858525704
5.54111201E8	59.416499569449776
5.61861008E8	59.45489458978918
5.69610815E8	58.106093328743256
5.77360622E8	59.18468116362231
5.85110429E8	56.39929293102311
5.92860236E8	59.2219009237694
6.00610043E8	59.09107038942126
6.0835985E8	59.076027741336254
6.16109657E8	59.388105441993574
6.23859464E8	58.93398046391831
6.31609271E8	59.06172794997736
6.39359078E8	59.35302142998842
6.47108885E8	59.08378795258359
6.54858692E8	59.29881689985052
6.62608499E8	59.42818964968258
6.70358306E8	59.26317583209989
6.78108113E8	59.44291554661151
6.857142635E8	57.69105191653943
6.89589167E8	48.227388176900554
6.93607727E8	59.02952273766095
7.01357534E8	58.48590068765121
7.09107341E8	59.293843304043826
7.16857148E8	59.50492886834043
7.24606955E8	59.391893334984175
7.32356762E8	59.26679656401202
7.40106569E8	27.43783149948637
7.47856376E8	58.72479749754578
7.55606183E8	59.07965729523538
7.6335599E8	59.076936354552366
7.71105797E8	56.8630232700649
7.78855604E8	59.03750847806373
7.86605411E8	59.130183834872305
7.94355218E8	59.080155523771516
8.02105025E8	59.097437394609756
8.09854832E8	58.70084139552035
8.17604639E8	58.92136898154704
8.25354446E8	59.42621489008467
8.33104253E8	56.58517507363949
8.4085406E8	59.30904523728816
8.48603867E8	59.26224517712712
8.56353674E8	58.94447451783865
8.64103481E8	59.29046831221414
8.71853288E8	59.04174908033483
8.776941285E8	45.69771626397196
8.81569032E8	53.070469550534455
8.87352902E8	59.40779951376717
8.95102709E8	58.34104514649056
9.02852516E8	57.525946268619734
9.10602323E8	58.12856394080991
9.1835213E8	59.263611242445
9.26101937E8	39.628005880162796
9.33851744E8	59.23338606931414
9.41601551E8	59.21872716926409
9.49351358E8	52.97621100787433
9.57101165E8	59.09171792357895
9.64850972E8	59.20047155768842
9.72600779E8	59.33423125194051
9.80350586E8	58.56821696710393
9.88100393E8	56.5917464839639
9.958502E8	59.291545654084786
1.003600007E9	59.145782680279034
1.011349814E9	59.365871667547204
