#Position (bp)	Coverage
3874904.0	0.17681885497277544
1.1624711E7	0.17381452209067916
1.9374518E7	0.18508228656532996
2.7124325E7	0.18098579745276236
3.4874132E7	0.1744906679611505
4.2623939E7	0.18577378765690553
5.0373746E7	0.17581792682062922
5.8123553E7	0.17389026591242854
6.587336E7	0.17239409962080346
7.3623167E7	0.1697108069917096
8.1372974E7	0.16689125290474977
8.9122781E7	0.1748283537899718
9.6872588E7	0.17175214815027007
1.04622395E8	0.1670839028636455
1.12372202E8	0.17949027633849463
1.20122009E8	0.2914813233413426
1.27871816E8	0.5993260219254493
1.35621623E8	0.0
1.4337143E8	0.7842009484881366
1.51121237E8	0.16714867867032043
1.58871044E8	0.18241744600865545
1.66620851E8	0.17635716605587726
1.74370658E8	0.17357683875224247
1.82120465E8	0.1800344189216583
1.89870272E8	0.1724179711830243
1.97620079E8	0.17397684871378089
2.05369886E8	0.17895258552890414
2.13119693E8	0.17338405975787527
2.208695E8	0.17226648353952556
2.28619307E8	0.17742635397242795
2.36369114E8	0.17365142125474867
2.44118921E8	0.17172801851710628
2.484751235E8	0.1665077218111818
2.52350027E8	0.17020825496901598
2.59618535E8	0.1761279990585572
2.67368342E8	0.175173523676138
2.75118149E8	0.17962434419334572
2.82867956E8	0.22405628940178768
2.90617763E8	0.17714350821897887
2.9836757E8	0.1717447931283966
3.06117377E8	0.1729039187685577
3.13867184E8	0.1762332920032718
3.21616991E8	0.1781724370684328
3.29366798E8	0.1630990294338943
3.37116605E8	0.1695308025090173
3.44866412E8	0.15271786768367263
3.52616219E8	0.17154207840272667
3.60366026E8	0.16538373149163585
3.68115833E8	0.17386807181133673
3.7586564E8	0.16672505521750414
3.83615447E8	0.1766300760780236
3.91365254E8	0.17151885201786315
3.99115061E8	0.17509597335778815
4.06864868E8	0.1767151104537184
4.14614675E8	0.177492549169289
4.22364482E8	0.17917078451114976
4.30114289E8	0.17285978863731702
4.37864096E8	0.17164633906366958
4.45613903E8	0.17300495354271403
4.5336371E8	0.17428937262566668
4.61113517E8	0.1758459275179369
4.68863324E8	0.17644181332515765
4.76613131E8	0.17646116864587724
4.84362938E8	0.1795827947715343
4.896938965E8	0.17593188444117838
4.935688E8	0.17374114170441018
4.99862552E8	0.17634529479250258
5.07612359E8	0.17896832785642275
5.15362166E8	0.1711981988712751
5.23111973E8	0.1777645559431351
5.3086178E8	0.17918007506509517
5.38611587E8	0.17965324813895364
5.46361394E8	0.17741177296415253
5.54111201E8	0.16918008409757818
5.61861008E8	0.17780442790381748
5.69610815E8	0.17129471740393018
5.77360622E8	0.16689125290474977
5.85110429E8	4.9267397239699005
5.92860236E8	0.17750996895793664
6.00610043E8	0.17650452456428914
6.0835985E8	0.17851992959308535
6.16109657E8	0.18197769312190612
6.23859464E8	0.17744945132182002
6.31609271E8	0.17895826308964854
6.39359078E8	0.1749717121987683
6.47108885E8	0.1714108493282478
6.54858692E8	0.1679827639578637
6.62608499E8	0.17628322873072838
6.70358306E8	0.16999778188024553
