#Insert size (bp)	insert size
359.0	3194.0
360.0	3123.0
361.0	3115.0
362.0	3194.0
363.0	3088.0
364.0	3126.0
365.0	2996.0
366.0	2999.0
367.0	2869.0
368.0	2970.0
369.0	2896.0
370.0	2840.0
371.0	2791.0
372.0	2933.0
373.0	2762.0
374.0	2694.0
375.0	2812.0
376.0	2720.0
377.0	2757.0
378.0	2593.0
379.0	2613.0
380.0	2554.0
381.0	2548.0
382.0	2612.0
383.0	2588.0
384.0	2488.0
385.0	2437.0
386.0	2468.0
387.0	2478.0
388.0	2550.0
389.0	2358.0
390.0	2382.0
391.0	2409.0
392.0	2315.0
393.0	2333.0
394.0	2308.0
395.0	2282.0
396.0	2240.0
397.0	2144.0
398.0	2168.0
399.0	2169.0
400.0	2164.0
401.0	2120.0
402.0	2132.0
403.0	2031.0
404.0	1990.0
405.0	2071.0
406.0	2026.0
407.0	2061.0
408.0	2059.0
409.0	1993.0
410.0	1985.0
411.0	1923.0
412.0	1845.0
413.0	1891.0
414.0	1797.0
415.0	1888.0
416.0	1769.0
417.0	1809.0
418.0	1814.0
419.0	1830.0
420.0	1734.0
421.0	1776.0
422.0	1737.0
423.0	1691.0
424.0	1614.0
425.0	1661.0
426.0	1659.0
427.0	1631.0
428.0	1658.0
429.0	1550.0
430.0	1603.0
431.0	1580.0
432.0	1516.0
433.0	1480.0
434.0	1536.0
435.0	1515.0
436.0	1564.0
437.0	1470.0
438.0	1437.0
439.0	1460.0
440.0	1422.0
441.0	1405.0
442.0	1422.0
443.0	1277.0
444.0	1338.0
445.0	1325.0
446.0	1289.0
447.0	1326.0
448.0	1272.0
449.0	1275.0
450.0	1248.0
451.0	1172.0
452.0	1256.0
453.0	1239.0
454.0	1172.0
455.0	1132.0
456.0	1162.0
457.0	1187.0
458.0	1149.0
459.0	1211.0
460.0	1093.0
461.0	1080.0
462.0	1047.0
463.0	1051.0
464.0	1102.0
465.0	1088.0
466.0	1058.0
467.0	1079.0
468.0	972.0
469.0	1004.0
470.0	968.0
471.0	982.0
472.0	978.0
473.0	1006.0
474.0	919.0
475.0	901.0
476.0	921.0
477.0	889.0
478.0	904.0
479.0	930.0
480.0	898.0
481.0	871.0
482.0	905.0
483.0	856.0
484.0	838.0
485.0	823.0
486.0	853.0
487.0	847.0
488.0	816.0
489.0	766.0
490.0	728.0
491.0	741.0
492.0	713.0
493.0	750.0
494.0	780.0
495.0	734.0
496.0	687.0
497.0	688.0
498.0	702.0
499.0	742.0
500.0	665.0
501.0	688.0
502.0	690.0
503.0	707.0
504.0	664.0
505.0	646.0
506.0	639.0
507.0	643.0
508.0	599.0
509.0	611.0
510.0	595.0
511.0	625.0
512.0	561.0
513.0	554.0
514.0	560.0
515.0	538.0
516.0	564.0
517.0	554.0
518.0	554.0
519.0	589.0
520.0	569.0
521.0	506.0
522.0	498.0
523.0	506.0
524.0	482.0
525.0	478.0
526.0	485.0
527.0	471.0
528.0	477.0
529.0	468.0
530.0	454.0
531.0	450.0
532.0	492.0
533.0	451.0
534.0	418.0
535.0	471.0
536.0	464.0
537.0	425.0
538.0	456.0
539.0	377.0
540.0	411.0
541.0	433.0
542.0	404.0
543.0	454.0
544.0	421.0
545.0	399.0
546.0	382.0
547.0	368.0
548.0	352.0
549.0	374.0
550.0	348.0
551.0	346.0
552.0	356.0
553.0	326.0
554.0	356.0
555.0	343.0
556.0	330.0
557.0	342.0
558.0	311.0
559.0	321.0
560.0	321.0
561.0	286.0
562.0	301.0
563.0	349.0
564.0	313.0
565.0	331.0
566.0	270.0
567.0	265.0
568.0	268.0
569.0	275.0
570.0	281.0
571.0	247.0
572.0	257.0
573.0	227.0
574.0	248.0
575.0	268.0
576.0	262.0
577.0	234.0
578.0	228.0
579.0	265.0
580.0	261.0
581.0	228.0
582.0	233.0
583.0	246.0
584.0	228.0
585.0	236.0
586.0	239.0
587.0	214.0
588.0	218.0
589.0	184.0
590.0	211.0
591.0	225.0
592.0	209.0
593.0	203.0
594.0	206.0
595.0	196.0
596.0	198.0
597.0	208.0
598.0	206.0
599.0	173.0
600.0	184.0
601.0	191.0
602.0	161.0
