#Coverage (X)	Coverage
1.0	11.717981536494136
2.0	3.937025792929319
3.0	0.4924335301318763
4.0	0.17062706987168497
5.0	0.043478344448089956
6.0	0.02870949155112612
7.0	0.021808964290499944
8.0	0.019346838253781584
9.0	0.017201203996137338
10.0	0.015778781357610683
11.0	0.014388617589645492
12.0	0.013259653896611212
13.0	0.012153658519423516
14.0	0.011219054521518501
15.0	0.010271256645552285
16.0	0.009462365466234246
17.0	0.008681765316396195
18.0	0.008013264741748571
19.0	0.007468638230065494
20.0	0.006999981358546847
21.0	0.00656277688582918
22.0	0.006219929609500241
23.0	0.005893147250716879
24.0	0.005627947075836914
25.0	0.005397134856977459
26.0	0.005191839404730558
27.0	0.00501183490699475
28.0	0.00487247658617207
29.0	0.004742118490227654
30.0	0.004630535056961094
31.0	0.00453562945976671
32.0	0.004432594627189701
33.0	0.0043379148420967795
34.0	0.0042592999745352245
35.0	0.004182233532759483
36.0	0.004117360944064785
37.0	0.00404242358774809
38.0	0.003975841278915482
39.0	0.003916581733690805
40.0	0.0038545156667311176
41.0	0.003797481983582429
42.0	0.0037464807092248975
43.0	0.003696576236464466
44.0	0.0036504137926982594
45.0	0.003609767615785131
46.0	0.003566282658269415
47.0	0.0035245719386267638
48.0	0.0034803772859532955
49.0	0.003436569739733386
50.0	0.0033907944024065273
51.0	0.0033485352819724312
