#Position (bp)	insert size
3874904.0	228.75318275154004
1.1624711E7	234.3613285381849
1.9374518E7	229.61719670200236
2.7124325E7	229.94075546719682
3.4874132E7	230.57009345794393
4.2623939E7	232.6201337003539
5.0373746E7	232.44382486575796
5.8123553E7	233.51072414525376
6.587336E7	232.99978655282817
7.3623167E7	237.08920800696256
8.1372974E7	229.85862068965517
8.9122781E7	237.40305473058973
9.6872588E7	235.78937259923174
1.04622395E8	238.97418927862344
1.12372202E8	234.67515274949085
1.20122009E8	220.77693738375697
1.27871816E8	259.61844783715014
1.35621623E8	0.0
1.4337143E8	249.98577048224954
1.51121237E8	234.9508411623334
1.58871044E8	232.55179322781007
1.66620851E8	234.43483657426563
1.74370658E8	236.39889783806697
1.82120465E8	237.00484848484848
1.89870272E8	239.12788481897098
1.97620079E8	237.32397043294614
2.05369886E8	231.12904538978222
2.13119693E8	224.63196721311476
2.208695E8	232.67989084802687
2.28619307E8	231.61715223635616
2.36369114E8	233.87476596629915
2.44118921E8	232.92858670087662
2.484751235E8	233.547703180212
2.52350027E8	231.37214389888186
2.59618535E8	232.02542372881356
2.67368342E8	235.30619506069485
2.75118149E8	232.0016184503338
2.82867956E8	235.08890735355214
2.90617763E8	232.3710407239819
2.9836757E8	236.98628375482213
3.06117377E8	235.91352035435563
3.13867184E8	236.56157840083074
3.21616991E8	229.83832823649337
3.29366798E8	239.80341496292968
3.37116605E8	228.50246834084567
3.44866412E8	234.93070259865254
3.52616219E8	233.9057893612476
3.60366026E8	232.77598050077555
3.68115833E8	234.8564843913681
3.7586564E8	228.65552920888123
3.83615447E8	236.87617260787994
3.91365254E8	237.9278416347382
3.99115061E8	236.84508524521152
4.06864868E8	235.365737874097
4.14614675E8	218.7587668593449
4.22364482E8	232.98175855708138
4.30114289E8	236.74973600844774
4.37864096E8	235.48208955223882
4.45613903E8	235.01033537228432
4.5336371E8	235.09533721898418
4.61113517E8	238.54031413612566
4.68863324E8	230.15929203539824
4.76613131E8	236.2047866805411
4.84362938E8	223.68175555992914
4.896938965E8	226.72368421052633
4.935688E8	234.58074222668003
4.99862552E8	231.33126036484245
5.07612359E8	231.094918699187
5.15362166E8	235.18222411226876
5.23111973E8	217.58869432813094
