#Read position (bp)	Clipping profile
0.0	1.0792646405522317
1.0	1.0761559560564384
2.0	1.0616157553133327
3.0	1.0430835137927288
4.0	1.0223246411726656
5.0	0.9967959052084706
6.0	0.9807652036006592
7.0	0.965090189699198
8.0	0.9473058043816895
9.0	0.9301441982716365
10.0	0.9119376780938443
11.0	0.8976880207885263
12.0	0.8834018826928134
13.0	0.8677242630206097
14.0	0.8531228266650552
15.0	0.8368432739513358
16.0	0.8233075978294608
17.0	0.8098240371224354
18.0	0.796048630092251
19.0	0.7828126176057623
20.0	0.7688144171770949
21.0	0.7576421751186599
22.0	0.7451605332621228
23.0	0.7347804455094056
24.0	0.7230323281168799
25.0	0.7117193744383505
26.0	0.7005210746724908
27.0	0.6900406647461875
28.0	0.6791837209475943
29.0	0.6689612823247978
30.0	0.6580209538624447
31.0	0.6484160829056188
32.0	0.639319337243579
33.0	0.6297783076699441
34.0	0.6207375860788679
35.0	0.6115717874921519
36.0	0.6034039990998105
37.0	0.5952179703122715
38.0	0.58748925429004
39.0	0.5803859232460066
40.0	0.572752317855876
41.0	0.5659434389057442
42.0	0.5589274011815841
43.0	0.5525002676452274
44.0	0.5462008168752528
45.0	0.5406765829011695
46.0	0.5353529932742582
47.0	0.5298092160196062
48.0	0.5245416504636584
49.0	0.5197053399655932
50.0	0.5147791303769118
51.0	0.5101317382576772
52.0	0.5057032308808119
53.0	0.5014962140170584
54.0	0.49729050003867614
55.0	0.492635290607214
56.0	0.4885768026757826
57.0	0.48539124794308597
58.0	0.48182915933809933
59.0	0.47876477294492864
60.0	0.47605737714347934
61.0	0.47308288984092456
62.0	0.4701878785460159
63.0	0.4678062040873781
64.0	0.46568901535910323
65.0	0.463807648883024
66.0	0.46188198430432237
67.0	0.460111363084799
68.0	0.45851272273428006
69.0	0.4566730485900806
70.0	0.4549532399000359
71.0	0.4526705847296128
72.0	0.45200741607564854
73.0	0.45161264180816096
74.0	0.45196051220228367
75.0	0.4521272815298032
76.0	0.45270445974926515
77.0	0.4535604554381738
78.0	0.4545428310080934
79.0	0.4554496392264806
80.0	0.45752513562287556
81.0	0.45951594447013955
82.0	0.4610650751765511
83.0	0.4629151724037205
84.0	0.4649489764682355
85.0	0.46732022784390337
86.0	0.4695520704848478
87.0	0.47194807668256933
88.0	0.474340174224177
89.0	0.4769993632668902
90.0	0.48039207677361495
91.0	0.4836375642333888
92.0	0.4874198404661161
93.0	0.4908021308898708
94.0	0.49481241206256615
95.0	0.499328212759305
96.0	0.5045931725445102
97.0	0.5087728288154676
98.0	0.5133889516857922
99.0	0.5181210313541579
100.0	0.5235436402692839
101.0	0.5294444081156573
102.0	0.5356422338266748
103.0	0.541415318906666
104.0	0.5470346635128502
105.0	0.5529028592249424
106.0	0.5594472524447113
107.0	0.5666965066503243
108.0	0.5739379435437097
109.0	0.5816262701194328
110.0	0.5889732407278891
111.0	0.5965104326005476
112.0	0.604725124866254
113.0	0.6129632690686426
114.0	0.6216535144948538
115.0	0.6300519135979058
116.0	0.6392177121846218
117.0	0.6493137709264074
118.0	0.6596756182839272
119.0	0.6700244367877346
120.0	0.6798481924869297
121.0	0.6902582466031857
122.0	0.7011177961725215
123.0	0.7122522545551901
124.0	0.7236694390634193
125.0	0.7347635079995793
126.0	0.7458927548407631
127.0	0.7575822423915827
128.0	0.7683571044117874
129.0	0.7804908758742019
130.0	0.7923184692743735
131.0	0.8053238710501516
132.0	0.8190862492266235
133.0	0.8322988097764297
134.0	0.8457524041199163
135.0	0.8595747150234657
136.0	0.8753448395570278
137.0	0.89071758405236
138.0	0.9052955684712319
139.0	0.9192273217459659
140.0	0.9335108540709363
141.0	0.9504796331460449
142.0	0.9676803258172351
143.0	0.9845422682919016
144.0	1.000780128673741
145.0	1.0157997912334653
146.0	1.0391136220665422
147.0	1.0600301438165263
148.0	1.078525904546735
149.0	1.0937357883706615
150.0	1.0965695640531217
