Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
1-Swift2S-100ng-1_S5_L005_R1_001	614.0	554.0	615.5	904.5	1192.5	1404.5	1694.5	2171.5	2818.0	3668.0	4750.0	6195.5	8300.0	11134.5	15108.0	21008.0	30328.0	45462.5	68503.0	101305.0	145284.0	200921.0	268691.0	350145.5	446428.5	556758.0	680564.5	813849.0	953809.0	1096671.0	1237961.0	1377851.0	1515550.5	1647709.0	1773478.0	1896195.5	2012629.0	2107020.5	2165899.0	2184126.5	2160629.0	2098751.5	2006780.0	1903198.0	1805783.5	1721093.0	1655651.0	1610883.0	1571553.0	1526165.5	1467442.5	1390526.5	1301302.5	1210771.0	1125623.0	1044345.5	962240.0	875298.5	780660.0	677129.0	571355.5	473902.5	390330.5	321195.5	265487.5	220492.5	183394.5	152054.0	125730.5	103960.5	85630.5	70695.5	58853.0	49296.5	41632.5	35754.0	30803.5	27041.5	24076.0	21048.5	17896.0	15168.5	13119.5	11158.5	9409.0	7749.5	6128.0	4678.5	3411.0	2427.0	1727.0	1226.5	853.0	598.0	428.0	283.5	171.5	114.0	88.0	74.5	66.0
1-Swift2S-100ng-1_S5_L005_R2_001	607.0	568.5	638.5	921.0	1234.5	1436.0	1733.0	2252.0	2843.0	3589.5	4741.0	6243.0	8375.0	11346.0	15321.5	21414.5	30901.5	45965.0	68628.0	101121.0	144328.5	199002.5	266571.0	348337.0	444102.5	554095.5	675891.0	807219.0	947269.5	1089714.0	1230557.0	1371680.0	1510183.0	1643265.0	1771084.5	1893080.0	2008046.0	2102026.0	2162549.5	2182378.0	2162143.0	2105368.5	2019262.0	1923237.0	1829219.0	1746579.0	1682721.0	1633709.5	1592209.0	1548543.5	1490235.5	1415492.0	1324611.0	1224070.5	1124197.5	1025571.5	929367.5	834519.0	738452.0	640314.5	544342.5	457222.0	381490.0	317741.5	265533.5	222434.5	185806.0	154791.0	128437.0	105896.0	87563.5	72726.0	60814.0	51274.0	43221.5	36997.0	31980.5	28058.5	24978.0	21806.0	18744.0	16120.0	13986.5	11934.0	10124.5	8519.5	6933.0	5623.0	4391.5	3260.5	2440.5	1901.5	1496.5	1155.5	915.5	711.0	553.0	445.5	357.5	308.5	338.0
1-Swift2S-100ng-1_S5_L006_R1_001	665.0	608.5	646.0	924.0	1251.0	1475.5	1755.0	2193.0	2819.5	3736.5	4826.0	6341.0	8442.0	11251.5	15203.0	21379.5	31265.5	46573.0	69588.5	102564.0	147192.5	203549.0	272644.5	356484.5	453928.5	565573.5	689844.0	823388.0	964432.0	1110767.5	1256357.0	1397526.0	1535327.5	1667330.0	1794402.0	1920430.0	2037091.5	2131196.5	2190199.5	2206959.0	2185174.0	2121599.5	2025654.0	1922060.0	1821408.0	1734458.5	1669663.5	1623075.0	1585320.5	1540336.0	1478760.0	1401491.5	1310749.0	1217876.5	1131758.0	1049192.5	968620.5	881861.0	784755.5	680217.0	574120.5	476672.0	392307.0	322489.5	266859.0	222336.0	185240.5	153186.5	126322.0	104343.0	85980.0	70820.5	59002.0	49507.5	41662.0	35566.0	30566.5	26781.5	23846.0	20730.0	17709.0	15185.5	13039.5	11060.5	9305.5	7691.5	6009.5	4558.5	3397.5	2417.0	1702.5	1221.0	852.0	605.5	428.5	290.0	199.5	136.5	98.5	71.5	48.0
1-Swift2S-100ng-1_S5_L006_R2_001	710.0	623.0	632.5	922.5	1270.5	1473.0	1724.0	2176.5	2857.0	3794.0	4877.5	6256.0	8417.0	11401.0	15240.0	21497.0	31471.0	46640.5	69468.0	101929.0	145941.5	202326.0	270885.0	352355.5	448260.5	559286.0	683082.5	817046.0	957619.5	1102037.0	1245920.5	1386610.0	1526371.5	1661635.5	1790221.5	1914260.0	2029600.5	2124123.5	2184953.0	2205210.0	2183890.5	2126607.0	2041391.0	1941976.5	1846340.0	1765639.5	1700518.0	1647857.0	1604899.0	1559207.0	1499603.0	1423520.0	1332457.0	1233912.0	1132738.0	1032174.5	937901.5	844576.5	745659.0	646295.0	550921.5	462611.5	386322.0	322020.5	268637.0	224515.5	187567.5	156165.5	129392.5	107054.0	88242.5	73164.0	60916.0	51171.5	43719.5	37412.5	32033.0	28103.5	25225.5	22210.0	18899.5	16202.5	14067.0	11898.0	10031.5	8466.5	6899.0	5655.0	4535.0	3424.5	2572.5	1929.0	1479.5	1176.5	896.5	688.0	543.0	419.5	353.0	292.0	287.5
1-Swift2S-100ng-1_S5_L007_R1_001	635.0	581.5	637.0	935.5	1213.0	1420.0	1754.5	2220.5	2881.5	3622.0	4674.5	6235.0	8272.0	11181.5	15261.5	21212.0	30537.0	45747.5	68899.0	101490.5	144949.5	200433.0	268627.5	350341.0	445192.5	555566.5	679935.5	812348.5	950296.0	1092275.5	1235178.0	1374998.5	1511554.0	1643187.0	1768716.0	1891357.5	2007894.5	2100676.0	2158144.5	2174623.0	2151162.0	2089947.5	1998558.0	1896052.5	1797154.5	1712725.5	1647655.0	1601323.5	1563080.5	1519337.5	1460180.0	1382888.0	1294477.0	1205601.5	1120104.5	1038060.5	959029.5	874454.5	778122.0	673579.0	568469.5	471051.5	386983.0	318515.5	263221.0	218970.0	182735.5	151136.5	124347.0	102619.5	84670.5	69856.5	58221.5	48912.5	41431.0	35691.5	30814.5	26835.5	23761.5	20810.0	17777.5	14976.5	12904.0	11025.5	9215.0	7636.5	6050.5	4680.5	3473.5	2373.5	1678.0	1217.0	854.5	594.5	418.5	258.0	171.5	125.5	103.0	84.0	60.0
1-Swift2S-100ng-1_S5_L007_R2_001	677.0	627.5	670.5	940.0	1232.0	1442.0	1818.5	2307.0	2923.5	3773.5	4928.5	6515.0	8617.5	11564.5	15580.0	21644.5	31326.5	46241.5	69161.5	102033.0	145670.5	200903.0	268452.5	349246.5	444386.5	553607.5	675162.0	806746.5	945119.5	1087574.5	1229374.0	1367630.5	1505096.0	1638527.5	1764593.0	1887465.5	2001331.5	2092884.0	2152353.0	2171142.5	2151788.5	2096168.0	2010312.0	1911373.0	1816477.0	1735507.5	1669321.0	1620204.5	1579423.5	1536072.0	1480930.5	1407529.5	1318776.5	1220422.5	1121408.0	1023737.5	929097.5	834464.0	736389.5	638167.5	542772.0	456320.5	380866.0	316274.5	264033.0	221591.5	185184.0	154272.0	127690.5	105676.5	87715.0	72483.0	60397.0	51009.0	43161.5	36949.5	32190.5	28214.5	24964.0	22043.5	18828.0	16111.0	13985.0	11879.0	10173.5	8561.0	6995.0	5730.0	4509.0	3487.0	2648.0	1978.0	1494.5	1154.0	905.0	697.5	548.5	435.0	368.5	294.5	331.5
1-Swift2S-100ng-1_S5_L008_R1_001	572.0	564.0	615.0	870.0	1189.5	1418.0	1728.5	2196.0	2875.0	3708.0	4788.5	6310.0	8339.5	11208.0	15292.5	21506.0	31180.5	46479.5	70155.0	103224.5	147598.5	204244.0	273442.5	356329.5	453329.5	564594.0	689055.0	823316.5	963812.5	1107493.5	1250544.5	1389082.5	1526334.5	1658559.0	1784672.0	1908076.0	2020629.0	2111005.5	2168305.5	2184967.5	2158739.5	2095568.0	2002894.0	1898262.0	1799748.0	1716321.5	1651257.5	1605028.0	1568144.0	1522285.0	1460286.0	1384072.5	1294173.5	1198612.0	1108041.0	1024777.5	943512.5	857699.0	764659.0	662831.5	560517.5	465351.5	383631.5	317019.0	261915.0	217198.0	180853.0	150161.5	123552.0	101883.0	83910.0	69225.0	57648.5	48243.0	40811.5	35165.5	30309.5	26372.0	23441.0	20541.5	17488.5	14727.5	12712.0	10894.0	9208.0	7546.5	5860.0	4487.0	3232.0	2255.5	1628.0	1125.0	778.0	563.5	406.5	275.0	174.0	115.5	106.0	94.5	66.5
1-Swift2S-100ng-1_S5_L008_R2_001	555.0	540.5	637.5	918.0	1204.0	1459.5	1778.0	2205.5	2883.5	3741.0	4859.0	6413.0	8490.0	11494.0	15778.0	21937.5	31741.0	47018.0	70140.5	102625.5	145955.5	201649.5	270232.0	351696.0	446840.5	556473.0	679710.0	812659.0	951619.0	1093890.5	1236747.0	1375991.5	1511633.5	1646874.5	1775419.0	1895237.0	2007707.0	2101655.5	2159474.5	2176472.0	2156049.0	2100708.5	2018496.5	1922542.0	1829038.0	1748714.0	1684218.5	1632101.0	1587061.0	1538522.5	1476538.0	1401678.0	1310905.0	1210025.5	1111802.5	1015834.0	922217.0	829713.0	734034.5	636525.5	541820.0	455801.0	380728.5	317539.0	264921.0	221272.5	185457.0	154510.5	128009.5	105882.0	87886.5	73014.5	60521.5	50981.0	43300.0	37320.5	32451.0	28243.5	25010.0	21919.0	18855.5	15994.5	13659.5	11662.0	9983.0	8516.5	7024.5	5679.0	4427.0	3372.0	2607.5	2009.0	1564.5	1199.0	920.5	740.5	576.5	450.0	380.0	298.0	287.0
10-Kapa-100ng-2_S10_L005_R1_001	111.0	116.5	153.0	230.0	310.5	405.5	535.0	727.0	982.0	1363.0	1858.0	2481.0	3473.0	4921.0	6803.5	9566.0	14225.5	21544.5	32718.5	48416.0	69678.0	97227.5	130270.5	169782.0	216072.0	270129.5	330862.5	394248.5	461145.0	530657.0	597940.0	663400.0	728404.5	791025.0	850074.0	907499.5	961615.5	1004983.5	1031308.5	1038353.5	1025484.5	992518.0	947960.5	898020.5	846006.5	799473.0	759865.5	728678.0	701386.5	671468.5	636649.5	594709.5	549372.0	504697.5	463903.5	427579.5	393484.0	358767.0	321956.0	283107.0	243490.5	205897.5	172460.0	143781.0	119866.0	100175.5	83936.5	69980.5	57815.5	47930.0	39527.0	32336.0	27022.5	23075.0	19514.5	16585.0	14367.0	12796.5	11511.0	10146.5	8717.5	7540.0	6545.0	5478.5	4674.0	3934.5	3129.5	2467.0	1864.0	1306.5	920.5	677.0	469.5	314.0	220.5	144.0	94.0	70.0	53.5	48.5	56.5
