Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138
1-Swift2S-100ng-1_S5_L005_R1_001 - illumina_universal_adapter	4.642497929579842e-05	7.677977345074353e-05	0.00011606244823949604	0.00016427300366205595	0.00022676816809870764	0.0003035479415494512	0.00039996905239457096	0.0006445929817608934	0.0010409908819019413	0.0018364650463741797	0.002641759879543606	0.00315422022792415	0.0036202555970088956	0.004413944185354372	0.005110318874791349	0.0059307911050382476	0.006928035371834533	0.008518983700779009	0.012025855213738551	0.01862266621405883	0.029767339609240592	0.04628302599372088	0.07054900555640936	0.10406159109153215	0.14822692379891392	0.2049394999490486	0.2751242479755986	0.35956146464595873	0.4596153301209748	0.5768375100548024	0.7116583282939911	0.8658196143501968	1.0390187130699333	1.2315743497918277	1.443421350987253	1.6783603154420212	1.9339298264653917	2.2106494867102517	2.507123868433537	2.824148445799721	3.1619267744872523	3.522502446373212	3.901583829236927	4.302613513850794	4.7210266748467475	5.158259808218768	5.615398544251924	6.089160101237167	6.576009931231571	7.077470237883201	7.595304277617234	8.13116817229124	8.677407157049794	9.238811039852934	9.812178282705375	10.397597271625393	10.994338598765207	11.601575542378121	12.217025243386079	12.841720657578406	13.475098435687109	14.11792101871832	14.770089307196999	15.429733802918427	16.09364404000669	16.763790401717667	17.442191481862665	18.1239851566485	18.810935575288433	19.502191017969984	20.195271319453084	20.892077225524673	21.593569376140948	22.297069407111767
1-Swift2S-100ng-1_S5_L005_R2_001 - illumina_universal_adapter	8.927880633807387e-05	0.00010713456760568865	0.0001446316662676797	0.00019462779781700105	0.0002589085383804142	0.00033211715957763484	0.0004213959659157087	0.0006803045042961229	0.0010713456760568865	0.0018802116614798359	0.002789069910001428	0.003361347058628481	0.0038827352876428327	0.004755882013629195	0.005543321085531007	0.006493247584968113	0.007670835040567307	0.009464446259899211	0.013274865714408205	0.02018325974884836	0.03161541090043872	0.04846767838481354	0.07302292128003739	0.10697029460202659	0.15155702327532405	0.20856243391024762	0.27901858950806535	0.36364418445979885	0.46383643208463887	0.581238062419206	0.7162026195365991	0.8703031960044949	1.0431317876779285	1.2347749949990479	1.445996151762043	1.6796959263848388	1.9339146490683141	2.2105727069368006	2.5072149328160016	2.8253572808375385	3.163833769790634	3.52541204267177	3.905195156953302	4.305164209347874	4.7224738842974885	5.159027605953275	5.616610057653932	6.091292971920583	6.5805033335545655	7.083767072094226	7.602282309120618	8.136153500837159	8.679939103997542	9.237115635320574	9.805860914368893	10.386473132355668	10.976853344543894	11.576969410563287	12.184556327097049	12.801870169581342	13.427659249151311	14.063149363817974	14.707687885507001	15.359877600899203	16.01631341632084	16.676537331495403	17.34230278217937	18.01063053460524	18.682336597062946	19.35828697397396	20.036799652626875	20.71839512846265	21.404406334059903	22.089881866819127
1-Swift2S-100ng-1_S5_L006_R1_001 - illumina_universal_adapter	4.5971960675655566e-05	7.956685501555771e-05	0.0001025528353533855	0.00016620631936583165	0.00023693241271299407	0.0002917451350570449	0.00039252981807675133	0.0006135488597866339	0.0010060786778633853	0.0017655001051785416	0.0025885750165061438	0.0030394538615943043	0.003552218038361232	0.004358495502518883	0.005018900399148012	0.005711132037783364	0.006553656624781436	0.008209531285271876	0.011731690733960564	0.018387900194095384	0.029356633196073435	0.0455971123809156	0.0696749267847902	0.103409505159053	0.1470112576314118	0.2029281911078452	0.27304161967138785	0.3576088094865899	0.45742454502744023	0.5729229076918569	0.706346798715112	0.8594254710795435	1.0312129632866331	1.2213096729089692	1.4322971023537237	1.6650761252349056	1.9179811420541895	2.194042765911501	2.49037714035061	2.807673844781651	3.1479910085210268	3.510509977038243	3.8916246036487627	4.290087456881174	4.710558502210889	5.150181289542848	5.60896200741022	6.081664272676814	6.570625582727754	7.072208848212663	7.592005850886798	8.126385689932953	8.673603198997782	9.232630197499255	9.803123663884637	10.38679782184143	10.981394740839526	11.584801478840177	12.198558096526018	12.818047064077646	13.447835518972955	14.086247252799618	14.733181480874613	15.390429341511958	16.05466582424817	16.72699956059646	17.405871924274702	18.092765511014676	18.784282816107222	19.477503735973272	20.174840030395952	20.875351042333754	21.578123521106335	22.28086240498458
1-Swift2S-100ng-1_S5_L006_R2_001 - illumina_universal_adapter	7.956685501555771e-05	0.0001025528353533855	0.0001379158820269667	0.0001998012137057338	0.000265222850051859	0.00031649926772855176	0.0004155157984145791	0.0006524482111275732	0.0010396735722032874	0.0018282695130241483	0.0027592017167061733	0.003286995188309373	0.003809484202911535	0.004672342541746916	0.005416734674225801	0.0062106350720476985	0.007253844948918344	0.009140463488953901	0.012946411387198079	0.01987049592588528	0.031101799549414666	0.04757390668996879	0.07185594268838333	0.10584778722719641	0.14953706324007232	0.20536470502365495	0.2753826533611789	0.35978098462851466	0.45949593548634526	0.5748333962883971	0.7082042427416418	0.8609054145828329	1.0317027414830622	1.2207818794373662	1.4304458468603616	1.66182449309327	1.9135678338293265	2.1882220084290296	2.4840162123301996	2.8005747131619296	3.1398150721300944	3.5006702093013193	3.8800272924921617	4.276462074997843	4.693746909822268	5.1296601135581685	5.584000116839507	6.051797527532475	6.535487091400551	7.031563446442215	7.546285851918692	8.075530976587842	8.618976132648768	9.17470552704793	9.742039305213028	10.322708488278732	10.91499708440521	11.518056380472292	12.131822722995969	12.753335340893493	13.384582521464086	14.022599957320338	14.667971138732362	15.320709326842657	15.975822143537087	16.63421488281049	17.295458767721946	17.96488919793834	18.639055624180493	19.315878699304	19.997136300480374	20.683517123043583	21.372542217421806	22.06010681797241
1-Swift2S-100ng-1_S5_L007_R1_001 - illumina_universal_adapter	4.840128841361532e-05	7.887617371107682e-05	0.0001129363396317691	0.0001649229086686152	0.00024917700331453815	0.0003262605367139996	0.0004320263150993072	0.0006614842749860761	0.0010953032303969987	0.0019736969830885364	0.0027848667240944966	0.003302043453995534	0.003774404176106188	0.004573025434930841	0.005289185239421186	0.0060403015299880305	0.0069662002509373756	0.008576887570923796	0.012113766905740947	0.01881286375024763	0.029825053184500926	0.04615779906362867	0.07060313867297184	0.10421066291498121	0.14860091863135713	0.2050592289255278	0.27574393273267817	0.3600365691453008	0.4593353976064559	0.5753730049773196	0.7102315429798332	0.8638151053573253	1.0359713176833085	1.228060793954299	1.4410766569029316	1.6779561476797884	1.9352242330408025	2.2128325116975605	2.5118718052796805	2.8306193864477	3.1716279750053595	3.5355509883462424	3.9188676808983365	4.3228409677611745	4.745325058481753	5.189552083541914	5.651888361030014	6.1303288227575115	6.622862126294773	7.130016204213568	7.652700821472045	8.191318425820159	8.74368827031883	9.306334425403836	9.88211884133267	10.47038182647066	11.070089027358003	11.68112661133491	12.303618270582884	12.932783929711004	13.567901154673685	14.212591078900392	14.862691191587555	15.520439604164224	16.18135561217152	16.84997459559782	17.527794305423498	18.207309852983954	18.892610250829996	19.580827274463037	20.2717027836782	20.96795352486775	21.66804410160477	22.368408952309473
1-Swift2S-100ng-1_S5_L007_R2_001 - illumina_universal_adapter	6.812033184138454e-05	9.142465589238451e-05	0.00012189954118984601	0.00017747139084992286	0.00025276228393776893	0.0003334310979604611	0.00044457479728061484	0.0006829959587254607	0.001111436993201537	0.002040920994774113	0.0029273816288679193	0.003495648607649996	0.003985039412720995	0.004838336201049917	0.005616342096290993	0.006499217449761569	0.007594520680158568	0.009430184359252719	0.013231478140033138	0.020234427517358627	0.03161321189533727	0.04834213128333202	0.07310656086814271	0.10711384389964233	0.1518608350380297	0.20858445609831944	0.27951027002738205	0.36432815005130803	0.46463892396837003	0.5817574934471378	0.7179856086477255	0.8726994307416911	1.0459912807050826	1.2385880741842605	1.4515232683188704	1.6877305189788712	1.9443451869463018	2.2218844489510623	2.5207615085849815	2.838593946873921	3.178563700371	3.5418530153617263	3.924522564761327	4.327102073781885	4.7475129759820796	5.190173233409889	5.651134555778981	6.128283420161958	6.620199159111868	7.127288701979446	7.648821547837709	8.185988906173726	8.736364438325724	9.29634045566658	9.86879056061581	10.453188613241958	11.048832794863024	11.655253433717366	12.273579893201301	12.89884387069119	13.53151324530836	14.172769367018168	14.821118966441038	15.476890993074152	16.134827632883542	16.798589457385525	17.469685869722483	18.14110047571475	18.815125166000733	19.490981038365028	20.16752259564852	20.84720665139827	21.526732058480444	22.206914468236825
1-Swift2S-100ng-1_S5_L008_R1_001 - illumina_universal_adapter	5.1852608780738654e-05	9.83411545841595e-05	0.00011979740649343068	0.00019131824619100123	0.00023780679199442208	0.00030396356871467483	0.00041303284925346993	0.000609715158421789	0.000969107377902081	0.0017495785411018195	0.0025336257462864366	0.003048575792108945	0.0034982630717074197	0.004283204287388256	0.004967122316996275	0.005685906755956859	0.006588857357138687	0.00828032521598623	0.011886763557736227	0.018686607391982746	0.029703498736897267	0.04602723638737153	0.07037293022042454	0.1039287201855322	0.14833690356425	0.20443427418103943	0.27413580251880304	0.3586904212407596	0.4582662043201985	0.574725375620745	0.7088510883370878	0.863172498163032	1.0374464342436058	1.2289667268067528	1.4423160736560945	1.6777501617935497	1.9344527596360699	2.2115253866349542	2.5099371501681054	2.829677322109568	3.172995232867831	3.5390004479886596	3.9260891126418356	4.331826836246154	4.755124714017217	5.199369257714707	5.66157894233373	6.13838781835602	6.63254318003646	7.142908740034353	7.6707674034117765	8.21388414392818	8.77185308081828	9.341865233102956	9.924922786548468	10.518722770116554	11.123020224931253	11.739322452689187	12.365913847248116	12.999762819015352	13.641143829213242	14.290747947955358	14.951234856467956	15.62078256135974	16.294111036640036	16.973104856434876	17.658725082027697	18.350068762817315	19.04518784993247	19.74334925476626	20.444133686395958	21.14835290635213	21.857886124697835	22.567307591731513
1-Swift2S-100ng-1_S5_L008_R2_001 - illumina_universal_adapter	7.330886069000982e-05	0.00010549323855391657	0.000128737511455627	0.00020025835115319754	0.0002556870019188147	0.00032363179963150674	0.0004362771221551804	0.0006418995362856957	0.0009923516508037913	0.0017933850554165817	0.0026641512787345034	0.003239894038299946	0.003722659706258547	0.004534421236825973	0.0052523116652903375	0.006034570849482515	0.007046590731203139	0.008918648710287047	0.01275395373906927	0.01974958587198789	0.030913988948778653	0.04733606775383707	0.07179887696189485	0.10543155182967741	0.1500855880948556	0.2062455394463804	0.27586750084998046	0.36016643257001824	0.45931577264276024	0.5748988136570117	0.7081171057196913	0.861035813077067	1.0334037187797007	1.2225164410765281	1.433554770793142	1.6664740074047313	1.9202835872814847	2.1939813246571402	2.4887482073972036	2.8038511468947753	3.142481760621359	3.5032310880349122	3.8850862152432186	4.285106741724212	4.7031487317880005	5.141965737762941	5.598793479194722	6.070284780785498	6.558998300575448	7.062170652120758	7.580012821898537	8.111689804105314	8.657983857925283	9.215973357056797	9.786977860992275	10.369716252690637	10.964379850398071	11.569356753189897	12.185161017101438	12.808555430125882	13.439072424773709	14.077339596413266	14.72476858761808	15.378467274432882	16.035107255780247	16.694698365775633	17.3579584948475	18.02783698362289	18.700102480423183	19.376390130445966	20.0551729637637	20.735071522180714	21.418452251480502	22.099744572261123
10-Kapa-100ng-2_S10_L005_R1_001 - illumina_universal_adapter	1.937863041684558e-05	2.713008258358381e-05	3.488153475032205e-05	3.875726083369116e-05	5.426016516716762e-05	5.426016516716762e-05	8.139024775075144e-05	8.526597383412055e-05	0.00010076887816759701	0.0001434018650846573	0.00019184844112677123	0.0002306057019604624	0.00030230663450279104	0.000368193977920066	0.00047283858217103214	0.0006937549689230718	0.0012421702097198018	0.002875788753859884	0.006838718674104805	0.01485953380363719	0.028746260360348733	0.05004143732542034	0.08274675187993064	0.12644943919600077	0.18102935176504636	0.249406849190886	0.33470576669671515	0.4351607110515593	0.5508937676270445	0.680538742978783	0.8258939740094584	0.9872055693253644	1.164638247285044	1.3585136931534176	1.567746703627141	1.7968873811280899	2.043583159923659	2.3065027281042116	2.589502433122699	2.887694984387994	3.2066401109666884	3.545244858103273	3.905255240398305	4.282909865687875	4.677718454622437	5.092087833099763	5.527058633573237	5.977635045121397	6.44627621594414	6.932918196561092	7.434256930486178	7.949988173221857	8.4843597205555	9.036123588688259	9.596493506589141	10.165748526536147	10.749822385162915	11.34744578217714	11.95450657220437	12.56874714480104	13.192535568604093	13.81938194028692	14.455590128324127	15.093866016226812	15.735246360722275	16.37944629594339	17.02008637675693	17.663222425168158	18.308829248957537	18.957463014818025	19.607697455550944	20.256897077419605	20.91065455316231	21.566510734579154
