FILE	NUM_READS	READS_WITH_DUP	DUP_RATIO
6-Swiftlong-100ng-2_S45_L005_R1_001	16990157	581644	0.0342342
6-Swiftlong-100ng-2_S45_L006_R1_001	17197286	599724	0.0348732
6-Swiftlong-100ng-2_S45_L007_R1_001	16773839	523246	0.0311942
6-Swiftlong-100ng-2_S45_L008_R1_001	16466766	386240	0.0234557
7-Swiftlong-100ng-3_S46_L005_R1_001	15228108	498997	0.0327682
7-Swiftlong-100ng-3_S46_L006_R1_001	15390851	511412	0.0332283
7-Swiftlong-100ng-3_S46_L007_R1_001	14948128	448927	0.0300323
7-Swiftlong-100ng-3_S46_L008_R1_001	14732991	334593	0.0227105
8-Swiftlong-100ng-4_S47_L005_R1_001	21504791	658801	0.0306351
8-Swiftlong-100ng-4_S47_L006_R1_001	21701008	678445	0.0312633
8-Swiftlong-100ng-4_S47_L007_R1_001	21336624	608753	0.0285309
8-Swiftlong-100ng-4_S47_L008_R1_001	20739597	448456	0.0216232
