#Coverage (X)	Coverage
1.0	18.69692278869107
2.0	8.431638098792106
3.0	1.4820689676065086
4.0	0.5569115283258412
5.0	0.1370929738982909
6.0	0.07800123932194936
7.0	0.05042271151383204
8.0	0.044352237251615634
9.0	0.038682256867417664
10.0	0.036237260290974405
11.0	0.03294511351471385
12.0	0.031346654219532866
13.0	0.029063339102336272
14.0	0.02781288850276553
15.0	0.026092942301048083
16.0	0.025104304694963275
17.0	0.023819562915988968
18.0	0.022982251671706422
19.0	0.02189554709910624
20.0	0.02115872223662052
21.0	0.02017440731918896
22.0	0.019524778183821923
23.0	0.018727371162412965
24.0	0.018154776209954093
25.0	0.01743427433596878
26.0	0.016891970462964423
27.0	0.01622308278187745
28.0	0.015694488928858163
29.0	0.015084505945409887
30.0	0.01458784837424787
31.0	0.01403554425137088
32.0	0.013546628809137928
33.0	0.01302942233742499
34.0	0.012583153122079693
35.0	0.012095269963708688
36.0	0.011688840453501825
37.0	0.011258507120217587
38.0	0.010874368489581343
39.0	0.010480971563083585
40.0	0.010130478934442522
41.0	0.00976772793498526
42.0	0.009457881483243114
43.0	0.009150035081475494
44.0	0.008877318589753713
45.0	0.008593053422373487
46.0	0.008369628484871328
47.0	0.00814949395216047
48.0	0.007956198799760728
49.0	0.007752903397488353
50.0	0.0075909316084050715
51.0	0.007423217740353039
