#Read position (bp)	Clipping profile
0.0	1.122733018316315
1.0	1.1198741218601518
2.0	1.105051208176609
3.0	1.0863465942867019
4.0	1.0655473484986782
5.0	1.0405449056645446
6.0	1.0239787876075508
7.0	1.0071530982658186
8.0	0.9891250210643645
9.0	0.9708600786150082
10.0	0.9521905558729383
11.0	0.936493975817503
12.0	0.9212417116192442
13.0	0.9047039761082951
14.0	0.8889145077203493
15.0	0.8721688055538347
16.0	0.8572112037881514
17.0	0.8425534249179609
18.0	0.8278925497700201
19.0	0.8134917619531093
20.0	0.7988510126105458
21.0	0.7861758835931675
22.0	0.7729774836359786
23.0	0.7607167397908563
24.0	0.7481747507167432
25.0	0.7356374060592555
26.0	0.723051037004054
27.0	0.7113027271266158
28.0	0.6996344044243952
29.0	0.6882819020527109
30.0	0.6765604265824424
31.0	0.6655887663740521
32.0	0.6548869983762345
33.0	0.6437290454565311
34.0	0.6330014751441272
35.0	0.6220520049262811
36.0	0.6118564783406469
37.0	0.6016330852552596
38.0	0.5919520568224764
39.0	0.5823577241667033
40.0	0.5727097226965906
41.0	0.5634343066491043
42.0	0.5543689214423504
43.0	0.5456787018896815
44.0	0.5372702436122951
45.0	0.5291956672856556
46.0	0.5215256712517294
47.0	0.5135986841645235
48.0	0.5059018537234276
49.0	0.4988614341654072
50.0	0.49173896324700245
51.0	0.48469441531864843
52.0	0.47814836810810174
53.0	0.47174578176665505
54.0	0.4654949130349758
55.0	0.45843849604191206
56.0	0.4520168159876714
57.0	0.44656375482300087
58.0	0.4411659106115451
59.0	0.4359739688704879
60.0	0.4315137807710986
61.0	0.42724401375335613
62.0	0.42295618511540334
63.0	0.41949196635904545
64.0	0.41636008141455927
65.0	0.41357755980957167
66.0	0.41069750545544786
67.0	0.4077627501944011
68.0	0.40508137366259184
69.0	0.4021218481795422
70.0	0.39846927252670433
71.0	0.3928825553724767
72.0	0.39149026247739943
73.0	0.3907672816226911
74.0	0.39103975406472247
75.0	0.3908983573807895
76.0	0.39215596219372617
77.0	0.39377583150345463
78.0	0.3953198420082994
79.0	0.3971327126311335
80.0	0.40279890091428694
81.0	0.4069184984611371
82.0	0.4100044552856596
83.0	0.4130026842405887
84.0	0.41615211475899366
85.0	0.41981862366170813
86.0	0.42318634176151315
87.0	0.4265205168523561
88.0	0.4304476291323923
89.0	0.43461573503066464
90.0	0.439530043866773
91.0	0.4445924579886069
92.0	0.4502699992901783
93.0	0.4559217382771635
94.0	0.4620322424174932
95.0	0.4690298301333002
96.0	0.4766853768710581
97.0	0.48283406843697546
98.0	0.48996221586458927
99.0	0.49704391912594764
100.0	0.5048346699921378
101.0	0.512881379819024
102.0	0.5211505055976444
103.0	0.5293241628122954
104.0	0.5374833707307781
105.0	0.5459140189987086
106.0	0.5549133502801216
107.0	0.5640107303569624
108.0	0.5733759384592091
109.0	0.5833206665470644
110.0	0.5931725063024088
111.0	0.6030088646690016
112.0	0.6134087455861593
113.0	0.6240036920015896
114.0	0.6346332135185654
115.0	0.6447776515213187
116.0	0.6558628419138888
117.0	0.6675136190421908
118.0	0.6793481086503472
119.0	0.6907707933177063
120.0	0.7023771904649198
121.0	0.7137178237718944
122.0	0.7256978384343176
123.0	0.737427054598962
124.0	0.7499468536825309
125.0	0.7620367862050917
126.0	0.7743290088740095
127.0	0.7869773034842181
128.0	0.7991828303761257
129.0	0.812278537121261
130.0	0.8256921283820997
131.0	0.8395479713149476
132.0	0.8540122328257408
133.0	0.8680136008128555
134.0	0.882655898294294
135.0	0.8975004859220894
136.0	0.9139334640358179
137.0	0.9304149505009687
138.0	0.9461146268341544
139.0	0.9612218820244384
140.0	0.9765345236388292
141.0	0.9941126084738982
142.0	1.0119471683159549
143.0	1.029219753746322
144.0	1.0459824854404636
145.0	1.0613008035640634
146.0	1.0847256928843898
147.0	1.1056493058287198
148.0	1.1245551777723999
149.0	1.139747064554527
150.0	1.1423071702077805
