#GC Content (%)	Sample
1.0	1.8032097132896554E-5
2.0	9.445384212469625E-6
3.0	7.72804162838424E-6
4.0	1.974943971698194E-5
5.0	1.8032097132896557E-5
6.0	9.445384212469625E-6
7.0	1.3738740672683091E-5
8.0	9.445384212469625E-6
9.0	1.717342584085386E-5
10.0	2.833615263740887E-5
11.0	1.8032097132896554E-5
12.0	1.889076842493925E-5
13.0	4.722692106234812E-5
14.0	8.6725800496312E-5
15.0	2.232545359311002E-5
16.0	2.919482392945157E-5
17.0	3.091216651353695E-5
18.0	1.0389922633716586E-4
19.0	0.0027134012828549103
20.0	0.015237980748589633
21.0	0.018738783606247693
22.0	0.011009883306571414
23.0	0.012709193793523902
24.0	0.01143063223967233
25.0	0.009481448406735418
26.0	0.004271889677912398
27.0	0.003797044453412789
28.0	0.00471582273589847
29.0	0.008949072205668948
30.0	0.011811882293339288
31.0	0.016571497265131935
32.0	0.02225590121845456
33.0	0.02868820786714638
34.0	0.036325230338574085
35.0	0.043463364789325
36.0	0.05127641487562147
37.0	0.05834242093784078
38.0	0.06049253385311569
39.0	0.06106440893361613
40.0	0.05742020797018693
41.0	0.054371066212143326
42.0	0.05050962141182734
43.0	0.0456898994495917
44.0	0.03922582196309431
45.0	0.033906353308889824
46.0	0.03048368953880765
47.0	0.027507534840587673
48.0	0.024433491615074833
49.0	0.021496835796288822
50.0	0.018535278510033573
51.0	0.01707725465614508
52.0	0.011615246567461511
53.0	0.011104337148696106
54.0	0.009323452888999563
55.0	0.007910079942297287
56.0	0.006788655234889532
57.0	0.00578057513803141
58.0	0.00504383516945878
59.0	0.004394679672674503
60.0	0.0036914278844915383
61.0	0.0032371907710009537
62.0	0.0027073905838106115
63.0	0.0023038150765505457
64.0	0.001907967610918864
65.0	0.001525000214667823
66.0	0.0013111910629491925
67.0	0.0010776324715135797
68.0	7.89118917387235E-4
69.0	6.517315106604042E-4
70.0	4.5080242832241387E-4
71.0	4.121622201804927E-4
72.0	3.7523935462265685E-4
73.0	2.593187301968933E-4
74.0	1.9749439716981943E-4
75.0	1.7173425840853862E-4
76.0	1.7001691582445324E-4
77.0	1.4253943447908708E-4
78.0	1.3223537897457475E-4
79.0	9.445384212469624E-5
80.0	8.500845791222662E-5
81.0	6.35416756111593E-5
82.0	6.26830043191166E-5
83.0	4.035755072600658E-5
84.0	4.3792235894177344E-5
85.0	5.323762010664697E-5
86.0	5.1520277522561594E-5
87.0	3.177083780557965E-5
88.0	1.1162726796555012E-5
89.0	5.1520277522561595E-6
90.0	9.445384212469625E-6
91.0	2.7477481345366175E-5
92.0	7.126971723954354E-5
93.0	1.236486660541478E-4
94.0	1.7259292970058128E-4
95.0	1.8633167037326442E-4
96.0	1.84614327789179E-4
97.0	1.6915824453241055E-4
98.0	1.7001691582445324E-4
99.0	9.273649954061085E-5
100.0	2.627534153650641E-4
