#Position (bp)	insert size
3874904.0	195.55534571398593
1.1624711E7	204.65385049047242
1.9374518E7	204.03837543971858
2.7124325E7	203.67128712871286
3.4874132E7	200.42324069923802
4.2623939E7	205.66761675071257
5.0373746E7	202.81045469273138
5.8123553E7	204.66923425464432
6.587336E7	206.93857159078007
7.3623167E7	209.45598300684446
8.1372974E7	197.39184746877055
8.9122781E7	208.8772475027747
9.6872588E7	207.2258100810081
1.04622395E8	209.86538685282142
1.12372202E8	205.50372725279544
1.20122009E8	186.7308230452675
1.27871816E8	235.15783328256677
1.35621623E8	0.0
1.4337143E8	221.7779320172475
1.51121237E8	207.13588516746412
1.58871044E8	206.0836069161742
1.66620851E8	203.00598006644518
1.74370658E8	209.57897676496873
1.82120465E8	205.1122570839214
1.89870272E8	210.3514611305427
1.97620079E8	207.72612041647804
2.05369886E8	204.72273179356836
2.13119693E8	197.34987113402062
2.208695E8	205.64241883298004
2.28619307E8	205.1545959424232
2.36369114E8	202.36413393432068
2.44118921E8	206.43856052841363
2.484751235E8	208.27689243027888
2.52350027E8	199.74552248421594
2.59618535E8	204.78540096727028
2.67368342E8	204.96022137668626
2.75118149E8	205.75995227248075
2.82867956E8	206.5861446462823
2.90617763E8	207.28830239320064
2.9836757E8	206.27385363594257
3.06117377E8	208.51862722962295
3.13867184E8	207.29532484635646
3.21616991E8	203.44670898763783
3.29366798E8	207.24026363091673
3.37116605E8	190.52008622378992
3.44866412E8	201.24599672172488
3.52616219E8	203.97057126370456
3.60366026E8	202.92080817464003
3.68115833E8	204.19802774911133
3.7586564E8	203.33904804872546
3.83615447E8	204.66996003552399
3.91365254E8	202.5606833814067
3.99115061E8	207.80793343212127
4.06864868E8	205.60828561805323
4.14614675E8	182.0457840897805
4.22364482E8	206.36825041922862
4.30114289E8	209.48160270880362
4.37864096E8	209.5918344137382
4.45613903E8	205.50091680036672
4.5336371E8	205.43416489540218
4.61113517E8	212.2813490267089
4.68863324E8	204.90577678070667
4.76613131E8	207.73884054695446
4.84362938E8	186.37531845511057
4.896938965E8	200.6986417657046
4.935688E8	207.6716960552627
4.99862552E8	206.36921335597057
5.07612359E8	208.30793685595265
5.15362166E8	203.8741766977061
5.23111973E8	171.75528477799318
5.3086178E8	203.48492937381826
5.38611587E8	203.32554093726216
5.46361394E8	199.0663834306957
5.54111201E8	206.59430645344221
5.61861008E8	205.85566090351367
5.69610815E8	207.969703745109
5.77360622E8	211.3794859647045
5.85110429E8	171.1501901701212
5.92860236E8	207.93354794205564
6.00610043E8	208.8961953435548
6.0835985E8	209.3521714608009
6.16109657E8	202.9491881144372
6.23859464E8	205.42599557522124
6.31609271E8	201.04568473224867
6.39359078E8	210.60908371935375
6.47108885E8	206.67624197363975
6.54858692E8	209.5209839123339
6.62608499E8	209.84057971014494
6.70358306E8	207.79966960352422
6.78108113E8	184.23747783687944
6.857142635E8	177.40735627650133
6.89589167E8	207.98048780487804
6.93607727E8	202.09792122538292
7.01357534E8	205.38193473193473
7.09107341E8	206.29654455102278
7.16857148E8	206.70551716059506
7.24606955E8	207.29809921186833
7.32356762E8	204.8542331828691
7.40106569E8	137.53738539361365
7.47856376E8	194.78448468589315
7.55606183E8	208.2261217759981
7.6335599E8	194.7979956154087
